question_id,match,raw_question,market_type,base_prob,market_prob,model_prob,context_adj,confidence,expected_field_prob,model_family,team,opponent,player,threshold,stat,period,evidence_score,second_half_team_bump,second_half_opp_bump,model_market_weight,team_is_chasing_underdog,opp_is_chasing_underdog,underdog_chasing_2h_share,team_sot_evidence_score,opp_sot_evidence_score,player_team_sot_evidence_score,mu_team,alpha_team,mu_team_2h,mu_opp_2h,team_2h_share_used,opp_2h_share_used,team_sot_mu_topdown,team_sot_mu_bottomup,team_sot_gate_mu,team_sot_gate_divergence,team_sot_gate_flag,team_sot_gate_note,team_sot_context_multiplier,team_sot_context_capped_multiplier,team_sot_context_flag,team_sot_context_note,opp_sot_mu_topdown,opp_sot_mu_bottomup,opp_sot_gate_mu,opp_sot_gate_divergence,opp_sot_gate_flag,opp_sot_gate_note,opp_sot_context_multiplier,opp_sot_context_capped_multiplier,opp_sot_context_flag,opp_sot_context_note,alpha_opp,mu_opp,lambda_team,lambda_opp,minutes,shots_per90,sot_rate,team_attack_multiplier,team_sot_mu_for_player,team_sot_gate_divergence_for_player,team_sot_gate_flag_for_player,role_multiplier,opponent_multiplier,set_piece_multiplier,generated_model_probability,used_model_probability,anchor_probability,shrink_coeff,raw_probability,shrunk_probability,final_probability,submit_probability_0_100,edge_vs_expected_field,red_team_flags,update_triggers
1,Argentina-Austria,Will Austria be caught offside 2 or more times?,team_stat,0.5,,,0.01,medium,,threshold_nb,Austria,Argentina,,2.0,offsides,full,0.65,,,,,,,,,,1.1313,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3060,0.3060,0.5000,0.82,0.4050,0.4216,0.4216,42,,,lineups; injuries/suspensions; referee; weather; tactical news; market move
2,Argentina-Austria,Will Austria have more shots on target than Argentina in the second half?,period_specific,0.34,,,0.0,medium,,second_half_relative_nb,Austria,Argentina,,1.0,sot,2H,0.7,1.00,0.98,,1,,0.56,0.58,0.72,,,0.30,1.5770,2.6694,0.56,0.50,2.8912,2.7408,2.8160,0.0520,OK,SOT gate OK: top-down and bottom-up differ by 5.2%.,1.0549,1.0549,OK,Context multiplier OK: 1.05x.,6.4060,4.4895,5.4477,0.2992,OK,SOT gate OK: top-down and bottom-up differ by 29.9%.,1.4269,1.4269,OK,Context multiplier OK: 1.43x.,0.30,,,,,,,,,,,,,,0.2623,0.2623,0.3400,0.85,0.3050,0.3103,0.3103,31,,Noisy market with strong probability: verify lineup/game-state sensitivity.,lineups; injuries/suspensions; referee; weather; tactical news; market move
3,Argentina-Austria,Will the second half have more goals than the first half?,period_specific,0.42,,0.43,0.0,medium_low,,,Argentina,Austria,,,goals,2Hvs1H,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4300,0.4200,0.78,0.4245,0.4235,0.4235,42,,,lineups; injuries/suspensions; referee; weather; tactical news; market move
4,Argentina-Austria,Will Austria finish with more corner kicks than Argentina?,team_stat,0.38,,,0.0,medium,,relative_nb,Austria,Argentina,,1.0,corners,full,0.62,,,,,,,,,,4.9711,0.20,,,,,,,,,,,,,,,,,,,,,,,,,0.20,7.4899,,,,,,,,,,,,,0.2833,0.2833,0.3800,0.81,0.3317,0.3408,0.3408,34,,,lineups; injuries/suspensions; referee; weather; tactical news; market move
5,Argentina-Austria,Will Argentina win the match?,match_outcome,0.69,0.69,,0.0,high,,match_poisson_win,Argentina,Austria,,,goals,full,0.82,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2079,0.8336,,,,,,,,,,,0.6879,0.6879,0.6900,0.92,0.6896,0.6896,0.6896,69,,,lineups; injuries/suspensions; referee; weather; tactical news; market move
6,Argentina-Austria,Will the match have 2 or fewer total goals?,goals,0.49,0.49,,0.0,medium_high,,total_goals_poisson_le,Argentina,Austria,,2.0,goals,full,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2079,0.8336,,,,,,,,,,,0.4140,0.4140,0.4900,0.88,0.4710,0.4733,0.4733,47,,,lineups; injuries/suspensions; referee; weather; tactical news; market move
7,Argentina-Austria,Will there be 4 or more total cards shown?,team_stat,0.43,,0.50,0.01,medium,,,Argentina,Austria,,4.0,cards_total,full,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5000,0.4300,0.81,0.4670,0.4602,0.4602,46,,,lineups; injuries/suspensions; referee; weather; tactical news; market move
8,Argentina-Austria,Will Argentina have 6 or more shots on target?,team_stat,0.46,,,0.0,medium,,threshold_nb,Argentina,Austria,,6.0,sot,full,0.74,,,,,,,0.74,,,5.4477,0.22,,,,,6.4060,4.4895,5.4477,0.2992,OK,SOT gate OK: top-down and bottom-up differ by 29.9%.,1.4269,1.4269,OK,Context multiplier OK: 1.43x.,,,,,,,,,,,,,,,,,,,,,,,,,0.4282,0.4282,0.4600,0.87,0.4441,0.4462,0.4462,45,,,lineups; injuries/suspensions; referee; weather; tactical news; market move
9,Argentina-Austria,Will Argentina score in the second half?,period_specific,0.63,,0.68,0.01,medium_high,,,Argentina,Austria,,1.0,goals,2H,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6800,0.6300,0.88,0.6545,0.6516,0.6516,65,,,lineups; injuries/suspensions; referee; weather; tactical news; market move
10,Argentina-Austria,Will Marcel Sabitzer have at least 1 shot on target?,player_prop,0.37,,,0.0,medium,,player_sot_poisson,Austria,Argentina,Marcel Sabitzer,1.0,sot,full,0.7,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.8800,1.9500,0.3179,0.7500,2.8160,0.0520,OK,1.0800,0.9182,1.1200,0.3567,0.3567,0.3700,0.85,0.3653,0.3660,0.3660,37,,,lineups; injuries/suspensions; referee; weather; tactical news; market move
