prop_family,threshold,model,n,brier,avg_p,event_rate
relative_2h,0,COM-Poisson,522,0.23398409030305797,0.41518066825761035,0.39846743295019155
relative_2h,0,NegBin,522,0.23056672684866092,0.4125046322155674,0.39846743295019155
relative_2h,0,Poisson,522,0.22937905798639419,0.40455995645941184,0.39846743295019155
relative_2h,0,WeibullCount,522,0.22987978600535663,0.392804121072797,0.39846743295019155
relative_total,0,BivarNB,522,0.23372250145593867,0.4409908045977012,0.4425287356321839
relative_total,0,COM-Poisson,522,0.2331480259897179,0.44496610928327873,0.4425287356321839
relative_total,0,NegBin,522,0.23350730718073362,0.4455828548173082,0.4425287356321839
relative_total,0,Poisson,522,0.23107224261147077,0.43250954210111797,0.4425287356321839
relative_total,0,WeibullCount,522,0.23154782928398007,0.42527592275862064,0.4425287356321839
team_2h,1,BivarNB,522,0.131813501302682,0.8517593869731801,0.8409961685823755
team_2h,1,COM-Poisson,522,0.13317018596944016,0.8305932289865531,0.8409961685823755
team_2h,1,NegBin,522,0.13186827184314667,0.8518121084914181,0.8409961685823755
team_2h,1,Poisson,522,0.13457880070566244,0.8933278850749954,0.8409961685823755
team_2h,1,WeibullCount,522,0.1346531632183908,0.8937831417624522,0.8409961685823755
team_2h,2,BivarNB,522,0.2397547874329502,0.6098896551724138,0.5900383141762452
team_2h,2,COM-Poisson,522,0.24168324993960358,0.6008565102636282,0.5900383141762452
team_2h,2,NegBin,522,0.23944291149108612,0.6113291882527145,0.5900383141762452
team_2h,2,Poisson,522,0.24362694998434406,0.6584624684438244,0.5900383141762452
team_2h,2,WeibullCount,522,0.2395884006130268,0.6254490421455938,0.5900383141762452
team_2h,3,BivarNB,522,0.22653128521072796,0.38023754789272035,0.35823754789272033
team_2h,3,COM-Poisson,522,0.22705681815967818,0.3864289996604689,0.35823754789272033
team_2h,3,NegBin,522,0.22620217908318352,0.38258439265512495,0.35823754789272033
team_2h,3,Poisson,522,0.22700281407607723,0.3963144208996683,0.35823754789272033
team_2h,3,WeibullCount,522,0.22555469946360152,0.33780459770114946,0.35823754789272033
team_total,2,BivarNB,522,0.13200316229885056,0.8456927203065134,0.8409961685823755
team_total,2,COM-Poisson,522,0.13169658693326658,0.8567963621172854,0.8409961685823755
team_total,2,NegBin,522,0.13179270325425857,0.8449448020333088,0.8409961685823755
team_total,2,Poisson,522,0.1381015461036267,0.9211704009770364,0.8409961685823755
team_total,2,WeibullCount,522,0.14202876934865902,0.9425547892720306,0.8409961685823755
