match_id,date,competition,season,team,opp,prop,threshold,actual,top_mu,bottom_mu,gated_mu,divergence,flag,p_top,p_gated,brier_top,brier_gated,logloss_top,logloss_gated,delta_brier,delta_logloss
3888704,1958-06-24,FIFA World Cup,1958,Brazil,France,team_sot_3plus,3.0,1,4.0,4.000000000000001,4.0,2.2204460492503126e-16,OK,0.6659002461187246,0.6659002461187246,0.11162264554352883,0.11162264554352883,0.40661540026249826,0.40661540026249826,0.0,0.0
3888704,1958-06-24,FIFA World Cup,1958,Brazil,France,team_sot_4plus,4.0,1,4.0,4.000000000000001,4.0,2.2204460492503126e-16,OK,0.5059055976733154,0.5059055976733154,0.24412927841056362,0.24412927841056362,0.68140519296326,0.68140519296326,0.0,0.0
3888704,1958-06-24,FIFA World Cup,1958,Brazil,France,team_sot_5plus,5.0,1,4.0,4.000000000000001,4.0,2.2204460492503126e-16,OK,0.36463372723747495,0.36463372723747495,0.40369030056414346,0.40369030056414346,1.0088619162504486,1.0088619162504486,0.0,0.0
3888704,1958-06-24,FIFA World Cup,1958,Brazil,France,team_sot_6plus,6.0,1,4.0,4.000000000000001,4.0,2.2204460492503126e-16,OK,0.25161623088880264,0.25161623088880264,0.560078265869082,0.560078265869082,1.3798502455497614,1.3798502455497614,0.0,0.0
3888704,1958-06-24,FIFA World Cup,1958,Brazil,France,team_sot_7plus,7.0,1,4.0,4.000000000000001,4.0,2.2204460492503126e-16,OK,0.16745426552277043,0.16745426552277043,0.6931323999962297,0.6931323999962297,1.7870450066547772,1.7870450066547772,0.0,0.0
3888704,1958-06-24,FIFA World Cup,1958,Brazil,France,team_sot_8plus,8.0,1,4.0,4.000000000000001,4.0,2.2204460492503126e-16,OK,0.10810601031024893,0.10810601031024893,0.7954748888447019,0.7954748888447019,2.2246429563428034,2.2246429563428034,0.0,0.0
3888704,1958-06-24,FIFA World Cup,1958,Brazil,France,team_sot_h2_1plus,1.0,1,1.92,1.9200000000000004,1.92,2.2204460492503126e-16,OK,0.7984203810640107,0.7984203810640107,0.040634342770378654,0.040634342770378654,0.22512002692591804,0.22512002692591804,0.0,0.0
3888704,1958-06-24,FIFA World Cup,1958,Brazil,France,team_sot_h2_2plus,2.0,1,1.92,1.9200000000000004,1.92,2.2204460492503126e-16,OK,0.5263219078095819,0.5263219078095819,0.22437093502115424,0.22437093502115424,0.6418422614017572,0.6418422614017572,0.0,0.0
3888704,1958-06-24,FIFA World Cup,1958,Brazil,France,team_sot_h2_3plus,3.0,1,1.92,1.9200000000000004,1.92,2.2204460492503126e-16,OK,0.30227682072044587,0.30227682072044587,0.4868176349039689,0.4868176349039689,1.1964120565491942,1.1964120565491942,0.0,0.0
3888704,1958-06-24,FIFA World Cup,1958,France,Brazil,team_sot_3plus,3.0,1,4.0,4.000000000000001,4.0,2.2204460492503126e-16,OK,0.6659002461187246,0.6659002461187246,0.11162264554352883,0.11162264554352883,0.40661540026249826,0.40661540026249826,0.0,0.0
